Cod. Item;Item;Definicao;Classificacao; R$ Valor Sugerido ;Item Dolarizado;Especificacao Sugerida;Tipo
Cod. Item;Item;Definicao;Classificacao; R$ Valor Sugerido ;Item Dolarizado;Especificacao Sugerida;Tipo
11807;Acelerador Linear (Recursos avançados com IGRT 3D);Equipamento utilizado no serviço de radioterapia, que tem como função emitir a radiação utilizada em diversos tratamentos. As radiações emitidas são os raios x de alta energia (grande poder de penetração para tratamentos de câncer mais profundo) ou elétrons (radiações corpusculares com menor poder de penetração para tratamentos mais superficiais). A energia máxima de fótons deve estar em conformidade com o bunker autorizado (licença CNEN).;Médico Assistencial;R$ 11.881.011,68;S;Clique para Detalhar;ANÁLISE ESPECIALIZADA
10272;Adipômetro;Instrumento utilizado para medição de gordura localizada e/ou avaliação da composição corporal (cálculo do índice de gordura corporal). O equipamento realiza a medição através de uma prega na região corporal e seus resultados auxiliam num planejamento de atividades físicas e reeducação alimentar para adequação nutricional.;Médico Assistencial;R$ 175,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
10848;Agitador com Incubadora;Equipamento utilizado para incubação de amostras que necessitam de agitação orbital e temperatura controlada.;Médico Assistencial;R$ 17.587,00;N;Clique para Detalhar;ESPECIALIZADO
2832;Agitador de Kline;Equipamento utilizado  para testes de VDRL, Kline, Alpha ou qualquer outro teste de aglutinação ou floculação.;Médico Assistencial;R$ 3.784,00;N;Clique para Detalhar;ESPECIALIZADO
1732;Agitador de Plaquetas;Equipamento para agitar plaquetas e bolsas de plaquetas de Apheresis com ou sem termostato.;Médico Assistencial;R$ 20.127,00;N;Clique para Detalhar;ESPECIALIZADO
41;Agitador de Tubos (Vórtex);Equipamento agitador de tubos e pequenos frascos utilizados em laboratórios.;Médico Assistencial;R$ 1.826,00;N;Clique para Detalhar;ESPECIALIZADO
1738;Agitador Magnético;Equipamento que promove agitação através de um campo magnético formado por um  ímã acoplado à um pequeno motor.;Médico Assistencial;R$ 1.707,00;N;Clique para Detalhar;ESPECIALIZADO
2827;Aglutinoscópio;Equipamento para visualizar aglutinação e possibilitar perfeita homogeneização.;Médico Assistencial;R$ 2.081,00;N;Clique para Detalhar;ESPECIALIZADO
11922;Agogô;Instrumento musical de percussão, composto por duas ou mais campanas metálicas de tamanhos diferentes, unidas por uma haste. O som é produzido ao bater com uma baqueta ou com as próprias mãos.;Apoio;R$ 147,00;N;Clique para Detalhar;ANÁLISE NÃO ESPECIALIZADA
2270;Alicate de Ordenha para Bolsa de Sangue;Alicate utilizado para confinar e selar na bolsa o sangue presente no tubo.;Apoio;R$ 21.726,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
174;Amalgamador Odontológico;Equipamento de uso odontológico, utilizado para mistura de produtos para homogeneização, necessários à produção da amalgama. A sua função é obturação dental.;Médico Assistencial;R$ 2.065,00;N;Clique para Detalhar;ESPECIALIZADO
11994;Ambulância Padrão Samu 192 Furgão Sem Equipamentos Aquisição por Pregão 90105/2025 (Item 1);Veículo para transporte e assistência ao paciente (SAMU),para Suporte Básico e/ou Avançado de Vida para Renovação de Frota.;Veículo;R$ 292.600,00;N;Clique para Detalhar;ANÁLISE NÃO ESPECIALIZADA
11995;Ambulância Padrão Samu 192 Furgão Tipo B Aquisição por Pregão 90105/2025 (Item 2);Veículo para transporte e assistência ao paciente (SAMU),para Suporte Básico de Vida (USB).;Veículo;R$ 323.037,00;N;Clique para Detalhar;ANÁLISE NÃO ESPECIALIZADA
11996;Ambulância Padrão Samu 192 Furgão Tipo D Aquisição por Pregão 90105/2025 (Item 3);Veículo para transporte e assistência ao paciente (SAMU),para Suporte Avançado de Vida (USA).;Veículo;R$ 437.784,00;N;Clique para Detalhar;ANÁLISE NÃO ESPECIALIZADA
11998;Ambulância Tipo A - Simples Remoção Furgão (Agora Tem Especialistas) Aquisição por Pregão 90130/2025;Ambulância para suporte básico - Tipo A especial (Simples remoção sem risco de vida), destinada ao transporte de pacientes sem risco de vida aparente.;Veículo;R$ 274.977,00;N;Clique para Detalhar;ANÁLISE NÃO ESPECIALIZADA
11656;Ambulância Tipo A - Simples Remoção Tipo Furgão;"Ambulância de transporte para remoção simples e eletiva de pecientes sem risco de vida - Ambulância Tipo A.

Este equipamento possui especificação e preço unitário previamente validados pelo Ministério da Saúde e não serão permitidas alterações.";Veículo;R$ 312.730,00;N;Clique para Detalhar;ESPECIALIZADO
11974;Ambulância Tipo A - Simples Remoção Tipo Furgão (Agora Tem Especialistas);Ambulância para suporte básico - Tipo A especial (Simples remoção sem risco de vida), destinada ao transporte de pacientes sem risco de vida aparente.;Veículo;R$ 363.334,00;N;Clique para Detalhar;ANÁLISE NÃO ESPECIALIZADA
11677;Ambulância Tipo A - Simples Remoção Tipo Furgoneta;Ambulância de transporte para remoção simples e eletiva de pacientes sem risco de vida - Ambulância Tipo A.;Veículo;R$ 260.998,00;N;Clique para Detalhar;ESPECIALIZADO
11678;Ambulância Tipo A - Simples Remoção Tipo pick-up 4x4;Ambulância de transporte para remoção simples e eletiva de pacientes sem risco de vida - Ambulância Tipo A Pick-up 4x4.;Veículo;R$ 334.413,00;N;Clique para Detalhar;ESPECIALIZADO
95;Amnioscópio;Equipamento de diagnóstico portátil utilizado pelo médico obstetra para visualizar a cor e a transparência do líquido amniótico. Consiste em um exame simples e indolor onde o médico faz uma análise pela cor do líquido amniótico e com isso consegue determinar o bem estar do bebê.;Médico Assistencial;R$ 2.588,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
11986;Amplificador Multicanais;É um dispositivo de áudio que contém multiplos circuitos amplificadores discretos (canais) em um único chassi.;Gerais;R$ 65.623,00;N;Clique para Detalhar;ANÁLISE NÃO ESPECIALIZADA
2828;Analisador Automático para Hematologia;Equipamento automático para rotinas hematológicas, na análise morfológica e contagem de células do sangue.;Médico Assistencial;R$ 104.987,00;N;Clique para Detalhar;ESPECIALIZADO
180;Analisador Bioquímico;Equipamento de uso essencial em laboratório com medição de analitos, sendo esse dispositivo (automático ou semi automático).;Médico Assistencial;R$ 111.634,00;N;Clique para Detalhar;ESPECIALIZADO
11416;Analisador de Composição Corporal;"Equipamento utilizado para diagnosticar deficiência ou excesso de nutrientes no organismo; Acompanhar a evolução terapêutica em várias situações clínicas bem como ser um indicador de risco.";Médico Assistencial;R$ 36.034,00;N;Clique para Detalhar;ESPECIALIZADO
718;Analisador de Gases Respiratórios/Hemogasômetro;Hemogasômetro, equipamento que permite a análise dos principais gases do sistema respiratório tais como oxigênio e gás carbônico.;Médico Assistencial;R$ 50.416,00;N;Clique para Detalhar;ESPECIALIZADO
11808;Analisador de G6PD;Analisador teste para a detecção quantitativa de Glicose-6-fosfato Desidrogenase (G6PD).;Médico Assistencial;R$ 1.934,00;N;Clique para Detalhar;ANÁLISE ESPECIALIZADA
2877;Analisador de Íons/ Eletrólitos;Analisador para dosagem de íons e eletrólitos (como Sódio, Potássio, Cloro, Lítio e Cálcio) nas rotinas laboratoriais de análises clínicas.;Médico Assistencial;R$ 29.347,00;N;Clique para Detalhar;ESPECIALIZADO
10518;Analisador de Meridianos;Sistema utilizado para análise bio-elétrica do paciente.;Médico Assistencial;R$ 2.244,00;N;Clique para Detalhar;ESPECIALIZADO
1461;Analisador de Partículas por Difração à Laser;Equipamneto utilizado para medir e caracterizar o tamanho das partículas presentes em uma amostra. Por meio da difração a laser monitora e otimiza a qualidade do produto, garantindo que as partículas estejam dentro das especificações dejedadas;Médico Assistencial;R$ 1.178.110,80;N;Clique para Detalhar;ANÁLISE ESPECIALIZADA
11324;Analisador de Tamanho de Partículas;Equipamento utilizado para medir tamanho de partículas sólidas e líquidas, podendo também determinar a forma da partícula analisada, com o objetivo de caracterizar partículas na faixa nano e micrométrica, como nanopartículas, polímeros, proteínas, emulsões, e outros sistemas dispersos.;Item Industrial Hosp/Farmacêutico e/ou Pesquisa;R$ 1.006.751,00;N;Clique para Detalhar;ANÁLISE ESPECIALIZADA
10493;Analisador de Urina;Equipamento para as rotinas de laboratório de urinálise, para determinação parâmetros físicos e químicos,  para auxiliar no diagnóstico de infecções, doenças renais e diabetes.;Médico Assistencial;R$ 8.471,00;N;Clique para Detalhar;ESPECIALIZADO
2789;Analisador Imunológico;Equipamento para as rotinas do laboratório de imunologia como: provas hormonais, detecção de marcadores específicos e reações antígeno-anticorpo.;Médico Assistencial;R$ 196.183,00;N;Clique para Detalhar;ESPECIALIZADO
11952;Analisador Termogravimétrico;Equipamento utilizado para analisar, avaliar, monitorar massa, por diferentes métodos.;Apoio;R$ 1.784.444,00;N;Clique para Detalhar;ANÁLISE NÃO ESPECIALIZADA
909;Andador;Equipamento utilizado no suporte de pacientes pediátrico a adulto com problemas locomotores.;Apoio;R$ 198,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
11890;Andador Posterior com 04 Rodas;Equipamento utilizado no suporte de pacientes pediátrico a adulto com problemas locomotores.;Apoio;R$ 2.830,00;N;Clique para Detalhar;ANÁLISE NÃO ESPECIALIZADA
162;Aparelho de Anestesia;Equipamento destinado à administração e mistura de gases com vapores anestésicos ao paciente, através de respiração espontânea, controlada, manualmente ou mecanicamente, sendo constituído de seção de fluxo contínuo (incluindo vaporizador), sistema respiratório e respirador .;Médico Assistencial;R$ 287.847,00;N;Clique para Detalhar;ESPECIALIZADO
10927;Aparelho de Anestesia com Monitor Multiparâmetros;Equipamento destinado à administração e mistura de gases com vapores anestésicos ao paciente, através de respiração espontânea, controlada, manualmente ou mecanicamente, sendo constituído de seção de fluxo contínuo (incluindo vaporizador), sistema respiratório e respirador. Possui um Monitor Multiparâmetros acoplado ao sistema para medição dos parâmetros fisiológicos durante a anestesia.;Médico Assistencial;R$ 317.447,00;N;Clique para Detalhar;ESPECIALIZADO
11234;Aparelho de Anestesia para Ressonância Magnética;Equipamento destinado à administração e mistura de gases com vapores anestésicos ao paciente, através de respiração espontânea, controlada, manualmente ou mecanicamente, sendo constituído de seção de fluxo contínuo (incluindo vaporizador), sistema respiratório e respirador. Para este item deve ser apresentadas caracteristicas construtivas que permitam a aplicação correta e utilização segura do equipamento em ambientes que possuam Ressonância Nuclear Magnética.;Médico Assistencial;R$ 375.000,00;N;Clique para Detalhar;ESPECIALIZADO
10270;Aparelho de Bioimpedância Elétrica (BIA);Utilizado para analisar a composição corporal por meio da resistência total do corpo à passagem de uma corrente elétrica.;Médico Assistencial;R$ 215,00;N;Clique para Detalhar;ESPECIALIZADO
3034;Aparelho de Corrente Interferencial;É um equipamento de eletroterapia amplamente utilizado para fins de analgesia (alívio e dor) e estimulação neuromuscular.;Médico Assistencial;R$ 2.435,00;N;Clique para Detalhar;ESPECIALIZADO
10;Aparelho de DVD;Aparelho para audio-visualização de discos do tipo DVD.;Gerais;R$ 326,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
11354;Aparelho de Fototerapia para Psoríase;Equipamento de fototerapia indicado para tratamento de psoríase, vitiligo, dermatite atópica, entre outros. Pode ser fixo aplicado para tratamentos de corpo inteiro ou portátil para aplicações em regiões isoladas, a depender do tipo da doença.;Médico Assistencial;R$ 10.361,00;N;Clique para Detalhar;ESPECIALIZADO
2775;Aparelho de Luz Infravermelho;Equipamento emissor de radiação infravermelha que auxilia na irrigação sanguínea, na redução da dor e também pode ser utilizado em bancos de leite.;Médico Assistencial;R$ 467,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
10912;Aparelho de Raios X - Fixo Analógico;Equipamento emissor de Raios X para fins de diagnóstico médico.;Médico Assistencial;R$ 171.600,00;N;Clique para Detalhar;ESPECIALIZADO
10883;Aparelho de Raios X - Fixo Digital;Equipamento com tecnologia digital (detector de painel plano) emissor de Raios X para fins de diagnóstico clínico por imagem.;Médico Assistencial;R$ 405.977,00;N;Clique para Detalhar;ESPECIALIZADO
361;Aparelho de Raios X - Móvel;Aparelho móvel emissor de Raios X para fins de diagnóstico médico.;Médico Assistencial;R$ 249.000,00;N;Clique para Detalhar;ESPECIALIZADO
316;Aparelho de Raios X - Odontológico;Equipamento de uso odontológico, destinado à obtenção de radiografias odontológicas.;Médico Assistencial;R$ 12.917,00;N;Clique para Detalhar;ESPECIALIZADO
329;Aparelho de Raios X - Panorâmico;Equipamento emissor  de Raios X, para fins de diagnóstico médico-odontológico, que realiza movimento panorâmico ao redor da cabeça, para gerar imagens radiográficas da arcada dentária.;Médico Assistencial;R$ 146.809,00;N;Clique para Detalhar;ESPECIALIZADO
10913;Aparelho de Raios X Telecomandado com Fluoroscopia;Aparelho emissor de Raio X para fins diagnósticos, dotado de sistema de fluoroscopia, que gera imagens em tempo real para exames específicos.;Médico Assistencial;R$ 2.753.767,00;N;Clique para Detalhar;ESPECIALIZADO
1748;Aparelho de Som;Aparelho utilizado na reprodução de som.;Gerais;R$ 518,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
11820;Aparelho Gerador de Ozônio para Odontologia;Equipamento que produz gás ozônio (O3), indicado para o combate a infecções e inflamações, possui propriedades analgésicas, anti-inflamatórias e antissépticas. Utilizado na endodontia, periodontia, cirurgia e no tratamento de cárie dental.;Médico Assistencial;R$ 13.553,00;N;Clique para Detalhar;ANÁLISE ESPECIALIZADA
61;Aparelho Medidor de Ponto de Fusão;Equipamento utilizado para a determinação do Ponto de Fusão em produtos sólidos (pós), verificação da pureza e qualidade da substância analisada.;Médico Assistencial;R$ 4.067,00;N;Clique para Detalhar;ESPECIALIZADO
