Proposta;Ano da proposta;IBGE;UF;Município;Nome da unidade;Componente;Porte;Situação no SISMOB;Data do repasse;Execução física (%) SISMOB;Data prevista de conclusão SISMOB;Dias sem monitoramento SISMOB;Data do último contato equipe PAC;Situação equipe PAC;Prioridade de contato;Ações;Quem fez o contato?;Data do contato;Execução informada pelo ente (%);Data/Previsão de conclusão informada pelo ente;Data/Previsão de inauguração informada pelo ente;Observações e problemas
2024;250030;PB;Alagoa Grande;Unidade Básica de Saúde;Unidade Básica de Saúde;I;Em início de execução;45965;00/01/1900;;10/02/1900;;Em início de execução;Média;• Atualizar SISMOB 1 vez por mês;Bartolomeu Lima;46279;;;;Aguardando Retorno;
2025;250030;PB;Alagoa Grande;Ubs Xi Centro;Unidade Básica de Saúde;I;Em início de execução;;00/01/1900;;10/02/1900;;Em início de execução;Média;• Atualizar SISMOB 1 vez por mês;Bartolomeu Lima;46279;00/01/1900;;;Não houve repasse;
2025;250053;PB;Alcantil;Unidade Básica de Saúde;Unidade Básica de Saúde;I;Em início de execução;46120;00/01/1900;;03/02/1900;;Em início de execução;Média;• Atualizar SISMOB 1 vez por mês;Bartolomeu Lima;46274;;;;Aguardando Retorno;
2024;250120;PB;Areial;Ubs Iv;Unidade Básica de Saúde;I;Em execução e conclusão;45810;09/04/1900;46259;05/01/1900;45953;Em funcionamento;Baixa;"• Pedir superação de etapa 'Execução e conclusão'
";Bartolomeu Lima;46266;09/04/1900;46381;25/12/2025;O credenciamento em tramitação o e-Gestor;O credenciamento em tramitação o e-Gestor
2024;250130;PB;Aroeiras;Construção de Ubs - Comidade Bastista;Unidade Básica de Saúde;I;Em início de execução;45946;00/01/1900;;09/05/1900;;Em início de execução;Alta;• Atualizar SISMOB 1 vez por mês;Bartolomeu Lima;46274;03/02/1900;46417;;Sem previsão de inaguração;
2024;250130;PB;Aroeiras;Consturção de Ubs - Pedra D' Àgua;Unidade Básica de Saúde;I;Em início de execução;45946;00/01/1900;;04/02/1900;;Em início de execução;Média;• Atualizar SISMOB 1 vez por mês;Bartolomeu Lima;46279;04/02/1900;46417;;Sem previsão de inaguração;
2025;250150;PB;Bananeiras;Unidade Básica de Saúde;Unidade Básica de Saúde;II;Em início de execução;46118;00/01/1900;;14/02/1900;;Em início de execução;Média;• Atualizar SISMOB 1 vez por mês;Bartolomeu Lima;46279;;;;Aguardando Retorno;
2025;250150;PB;Bananeiras;Centro de Atenção Psicossocial;Centro de Atenção Psicossocial;I;Em início de execução;46113;00/01/1900;;14/02/1900;;Em início de execução;Média;• Atualizar SISMOB 1 vez por mês;Bartolomeu Lima;46279;;;;Aguardando Retorno;
2025;250180;PB;Bayeux;Unidade Básica de Saúde;Unidade Básica de Saúde;I;Em início de execução;46185;00/01/1900;;07/03/1900;;Em início de execução;Alta;• Atualizar SISMOB 1 vez por mês;Bartolomeu Lima;46280;;;;Aguardando Retorno;
2024;250240;PB;Bonito de Santa Fé;Unidade Básica de Saúde;Unidade Básica de Saúde;II;Em execução e conclusão;45881;30/01/1900;46492;07/04/1900;;Em execução e conclusão;Alta;• Atualizar SISMOB 1 vez por mês;Bartolomeu Lima;46273;15/03/1900;46492;;;
2025;250280;PB;Brejo do Cruz;Unidade Básica de Saúde;Unidade Básica de Saúde;I;Em início de execução;46185;00/01/1900;;02/03/1900;;Em início de execução;Alta;• Atualizar SISMOB 1 vez por mês;Bartolomeu Lima;46279;;;;Aguardando Retorno;
2024;250300;PB;Caaporã;Unidade Básica de Saúde;Unidade Básica de Saúde;I;Em execução e conclusão;45817;30/01/1900;46386;27/07/1900;;Em execução e conclusão;Alta;• Atualizar SISMOB 1 vez por mês;Bartolomeu Lima;46243;10/03/1900;46507;;;
2024;250310;PB;Cabaceiras;Ubsf Iii Assentamento Serra do Monte;Unidade Básica de Saúde;I;Em execução e conclusão;45748;20/03/1900;46387;06/01/1900;;Em execução e conclusão;Alta;;Bartolomeu Lima;46266;20/03/1900;46387;;;
2024;250320;PB;Cabedelo;Ubs Stephanie Palhano;Unidade Básica de Saúde;II;Em execução e conclusão;45916;09/03/1900;46556;11/01/1900;;Em execução e conclusão;Alta;;Bartolomeu Lima;46280;09/03/1900;46556;;;
2025;250350;PB;Cacimba de Dentro;Caps I;Centro de Atenção Psicossocial;I;Em ação preparatória;;00/01/1900;;04/01/1900;;Ordem de serviço emitida;Baixa;;Bartolomeu Lima;46280;;;;Não houve repasse;
