Proposta;Ano da proposta;IBGE;UF;Município;Nome da unidade;Componente;Porte;Modalidade;Situação no SISMOB;Data de assinatura do TRR;Execução física (%) SISMOB;Data prevista de conclusão SISMOB;Dias sem monitoramento SISMOB;Data do último contato equipe PAC;Prioridade de contato;Ações;Quem fez o contato?;Data do contato;Execução informada pelo ente (%);Data/Previsão de conclusão informada pelo ente;Data/Previsão de inauguração informada pelo ente;Observações e problemas
08448753000113001;2013;250053;PB;Alcantil;Unidade Básica de Saúde da Familia de Lagoa do Juca;Unidade Básica de Saúde;I;Repactuação;Obra cancelada;46101;100;41813;3483;;Alta;#VALOR!;;;;;;
11490408000114002;2014;250060;PB;Alhandra; Psf Subauma;Unidade Básica de Saúde;I;Reativação;Em funcionamento;-;100;44742;539;;Não é necessário contato;Reativação da retomada da obra concluída com sucesso nos sistemas.;;;;;;
11898585000113003;2013;250090;PB;Arara;Unidade de Saude da Familia Iii;Unidade Básica de Saúde;;Reativação;Em execução e conclusão;-;95;42916;538;;Alta;Regularizar a obra no SISMOB em até 60 dias após a reativação, até alcançar a situação “Em funcionamento” ou “Readequada” (para obras que passaram por readequação).;;;;;;
11898585000113004;2013;250090;PB;Arara;Unidade de Saude da Familia Iv;Unidade Básica de Saúde;;Reativação;Em execução e conclusão;-;98;42885;538;;Alta;Regularizar a obra no SISMOB em até 60 dias após a reativação, até alcançar a situação “Em funcionamento” ou “Readequada” (para obras que passaram por readequação).;;;;;;
08865636000110001;2010;250130;PB;Aroeiras;Ubsf;Unidade Básica de Saúde;I;Reativação;Em execução e conclusão;-;10;41638;3777;;Alta;Regularizar a obra no SISMOB em até 60 dias após a reativação, até alcançar a situação “Em funcionamento” ou “Readequada” (para obras que passaram por readequação).;;;;;;
08993925000111004;2011;250160;PB;Barra de Santa Rosa;;Academia da Saúde;;Repactuação;Obra cancelada;45728;0;;2419;;Alta;#VALOR!;;;;;;
11228592000117002;2017;250170;PB;Barra de São Miguel;Centro Saude Barra de Sao Miguel;Unidade Básica de Saúde;I;Reativação;Em funcionamento;-;100;44772;671;;Não é necessário contato;Reativação da retomada da obra concluída com sucesso nos sistemas.;;;;;;
11685421000117701;2017;250180;PB;Bayeux;Unidade Básica de Saúde;Unidade Básica de Saúde;II;Reativação;Em funcionamento;-;100;45229;514;;Não é necessário contato;Reativação da retomada da obra concluída com sucesso nos sistemas.;;;;;;
11685421000117705;2017;250180;PB;Bayeux;Unidade Básica de Saúde;Unidade Básica de Saúde;II;Repactuação;Obra cancelada;45637;33;45107;990;;Alta;#VALOR!;;;;;;
12461113000113001;2013;250200;PB;Belém do Brejo do Cruz;Unidade Básica de Saúde Emas;Unidade Básica de Saúde;I;Reativação;Em funcionamento;-;100;42837;384;;Não é necessário contato;Reativação da retomada da obra concluída com sucesso nos sistemas.;;;;;;
11153600000118001;2018;250250;PB;Boqueirão;Ubsf Malvinas;Unidade Básica de Saúde;I;Reativação;Em execução e conclusão;-;95;43981;644;;Alta;Regularizar a obra no SISMOB em até 60 dias após a reativação, até alcançar a situação “Em funcionamento” ou “Readequada” (para obras que passaram por readequação).;;;;;;
11594451000116003;2016;250270;PB;Borborema;Mini Posto Manitu;Unidade Básica de Saúde;II;Reativação;Em execução e conclusão;-;99;44195;241;;Alta;Regularizar a obra no SISMOB em até 60 dias após a reativação, até alcançar a situação “Em funcionamento” ou “Readequada” (para obras que passaram por readequação).;;;;;;
11594451000116002;2016;250270;PB;Borborema;Unidade Basica de Saude Psf I Borborema;Unidade Básica de Saúde;IV;Reativação;Em execução e conclusão;-;100;44195;150;;Alta;Regularizar a obra no SISMOB em até 60 dias após a reativação, até alcançar a situação “Em funcionamento” ou “Readequada” (para obras que passaram por readequação).;;;;;;
11309134000118002;2018;250310;PB;Cabaceiras;Academia da Saúde;Academia da Saúde;Intermediária;Reativação;Em execução e conclusão;-;100;44864;390;;Alta;Regularizar a obra no SISMOB em até 60 dias após a reativação, até alcançar a situação “Em funcionamento” ou “Readequada” (para obras que passaram por readequação).;;;;;;
11309134000118005;2018;250310;PB;Cabaceiras;Academia da Saúde;Academia da Saúde;Intermediária;Reativação;Em execução e conclusão;-;100;44499;390;;Alta;Regularizar a obra no SISMOB em até 60 dias após a reativação, até alcançar a situação “Em funcionamento” ou “Readequada” (para obras que passaram por readequação).;;;;;;
11309134000118006;2018;250310;PB;Cabaceiras;Academia da Saúde;Academia da Saúde;Intermediária;Reativação;Em funcionamento;-;100;44926;384;;Não é necessário contato;Reativação da retomada da obra concluída com sucesso nos sistemas.;;;;;;
12011663000118002;2018;250350;PB;Cacimba de Dentro;Construção de Unidade Básica de Saúde;Unidade Básica de Saúde;I;Reativação;Em funcionamento;-;100;45291;388;;Não é necessário contato;Reativação da retomada da obra concluída com sucesso nos sistemas.;;;;;;
11902878000113009;2013;250370;PB;Cajazeiras;Unidade Básica de Saúde do Sitio Serragem;Unidade Básica de Saúde;I;Repactuação;Em cancelamento;45644;87;43373;1991;;Alta;#VALOR!;;;;;;
11902878000113010;2013;250370;PB;Cajazeiras;Unidade Saúde da Família Amélio Estrela Dantas Cartaxo;Unidade Básica de Saúde;II;Repactuação;Obra cancelada;45644;88;43373;2313;;Alta;#VALOR!;;;;;;
24513574000116014;2016;250400;PB;Campina Grande;Ubs Jardins;Unidade Básica de Saúde;II;Reativação;Em funcionamento;-;100;44586;333;;Não é necessário contato;Reativação da retomada da obra concluída com sucesso nos sistemas.;;;;;;
24513574000113037;2013;250400;PB;Campina Grande;Instituto de Saude Elpidio de Almeida;Centro de Parto Normal;Peri- hospitalar 5PPP;Reativação;Em funcionamento;-;100;;483;;Não é necessário contato;Reativação da retomada da obra concluída com sucesso nos sistemas.;;;;;;
11570107000116001;2016;250460;PB;Conde;Unidade de Saude da Familia de Mituacu;Unidade Básica de Saúde;III;Reativação;Em execução e conclusão;-;100;;537;;Alta;Regularizar a obra no SISMOB em até 60 dias após a reativação, até alcançar a situação “Em funcionamento” ou “Readequada” (para obras que passaram por readequação).;;;;;;
11570107000113003;2013;250460;PB;Conde;Upa Conde;Unidade de Pronto Atendimento;I;Repactuação;Obra cancelada;45705;93;42641;2569;;Alta;#VALOR!;;;;;;
11570107000116002;2016;250460;PB;Conde;Unidade Saude da Familia Nossa S das Neves Ii;Unidade Básica de Saúde;IV;Repactuação;Obra cancelada;45705;0;;0;;Alta;#VALOR!;;;;;;
11161210000119001;2019;250480;PB;Coremas;Ubs do Pombalzinho Dr Olivio Assis Bandeira;Unidade Básica de Saúde;I;Reativação;Em execução e conclusão;-;99;44622;14;;Baixa;Regularizar a obra no SISMOB em até 60 dias após a reativação, até alcançar a situação “Em funcionamento” ou “Readequada” (para obras que passaram por readequação).;;;;;;
23014200000116002;2016;250490;PB;Cruz do Espírito Santo;Unidade Básica de Saúde;Unidade Básica de Saúde;I;Repactuação;Em execução e conclusão;45727;61;44175;1104;;Alta;"Regularizar e monitorar a obra no SISMOB até que atinja situação ""Em funcionamento"" ou ""Readequada"".";;;;;;
23014200000116003;2016;250490;PB;Cruz do Espírito Santo;Unidade Básica de Saúde;Unidade Básica de Saúde;I;Reativação;Obra concluída;-;100;44104;690;;Alta;Regularizar a obra no SISMOB em até 60 dias após a reativação, até alcançar a situação “Em funcionamento” ou “Readequada” (para obras que passaram por readequação).;;;;;;
08925968000109003;2009;250540;PB;Desterro;Usf-Raimunda Cordeiro de Morais;Unidade Básica de Saúde;I;Reativação;Em funcionamento;-;100;;672;;Não é necessário contato;Reativação da retomada da obra concluída com sucesso nos sistemas.;;;;;;
