Instrumento;Link Externo;UF;Municipio;CNPJ;Nome Proponente;Modalidade;Emenda;Objeto;Situacao;Natureza Juridica;Inicio Vigencia;Fim Vigencia; Valor Global ;Valor Empenhado; Valor Liberado ;Valor de Contrapartida; Total em Movimentacoes Financeiras ; Saldo em conta ; Vl Devolvido ;PC Informatizada;Relatorios de Execucao;Acao de Monitoramnto;Percental  Exec;Parecer Financeiro;Grau de Prioridade;Acao de Analise de PC;Data Limite para Apresentar PC;Data de Envio da  PC;Dias de Atraso Envio da PC;Status de Execucao;Analise de Equipamentos;Percentual de Evolucao da Analise;Parecer Tec -Merito;Pareceres Incluidos na Plataforma;Execucao  Financeira Concedente  e Convenente;Devolucao de Saldo p Uniao;Resto a Pagar ;Tecnico / Analista;Processo SEI;Nota de Risco;Limite Toler  Risco;Faixa de Risco;Data de Vinculo Fiscal ;Dias apos Envio da PC;ANOTACOES OBS;Ano;Ingresso de $; ALERTA de Execucao Financeira ; ALERTA Sem Desembolso ; ALERTA Sem Pgt + 150 Dias ; Acordao  TCU1203 ; GRAU DE PRIORIDADE ;
708682;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=103204&Usr=guest&Pwd=guest;PB;CACIMBA DE DENTRO;08929648000159;MUNICIPIO DE CACIMBA DE DENTRO;CONTRATO DE REPASSE;NÃO;CONSTRUÇÃO DE UNIDADE BÁSICA DE SAÚDE;Prestação de Contas Concluída;Administração Pública Municipal;30/12/2009;30/06/2015; 206.186,00 ; 200.000,00 ; 200.000,00 ; 6.186,00 ; 188.151,49 ; -   ; 44.066,63 ;NÃO;PENDENTE;MONITORAR  DESEMBOLSO;0%;PENDENTE;Indefinida;NÃO HOUVE DESEMBOLSO;30/08/2015;14/03/2014;0;Baixa Execução;PENDENTE;0,00%;PENDENTE;NÃO INCLUÍDOS;FNS: 100,00%   |  Convenente: 91,25%;SEM INFORMAÇÃO;SEM IFORMAÇÃO;Fiscal Não Identificado;065954/2009;-;;;Sem Vínculo;-; ;2009;6.186,00;Negativo;-;-;NÃO;INDEFINIDO;*
709515;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=130166&Usr=guest&Pwd=guest;PB;CAMPINA GRANDE;12671814000137;UNIVERSIDADE ESTADUAL DA PARAIBA;CONVENIO;NÃO;"Ampliação de área para o Núcleo de Tecnologias Estratégicas em Saúde da UEPB de modo a adequar a estrutura para realizaratividades de PD&I.OBJETIVOS ESPECÍFICOS1. Ampliar a estrutura que permita apoio tecnológico a empresas nacionaisquanto a PD&I de produtos médicos;";Prestação de Contas Concluída;#VALOR!;31/12/2009;20/11/2014; 555.000,00 ; 489.500,00 ; 489.500,00 ; 55.500,00 ; 551.216,50 ; -   ; 2.267,10 ;NÃO;PENDENTE;MONITORAR  DESEMBOLSO;0%;PENDENTE;Indefinida;NÃO HOUVE DESEMBOLSO;16/09/2015;14/03/2019;1275;Baixa Execução;PENDENTE;0,00%;PENDENTE;NÃO INCLUÍDOS;FNS: 98,00%   |  Convenente: 101,14%;SEM INFORMAÇÃO;SEM IFORMAÇÃO;M.JOSÉ;25000639795200918;-;;;31/12/2020;-; ;2009;55.500,00;Negativo;-;-;NÃO;INDEFINIDO;*
709653;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=129515&Usr=guest&Pwd=guest;PB;CAMPINA GRANDE;12671814000137;UNIVERSIDADE ESTADUAL DA PARAIBA;CONVENIO;NÃO;Apoiar o desenvolvimento de pesquisas e atividades de PD&I de produtos estratégicos de modo a garantir suporte tecnológico aos estabelecimentos de saúde da Região Nordeste.;Prestação de Contas Concluída;Administração Pública Estadual ou do Distrito Federal;31/12/2009;05/02/2019; 2.195.545,92 ; 1.967.986,36 ; 1.967.986,36 ; 227.559,56 ; 1.882.116,88 ; -   ; 746.388,38 ;SIM;PENDENTE;MONITORAR  DESEMBOLSO;0%;PENDENTE;Indefinida;NÃO HOUVE DESEMBOLSO;07/03/2019;;0;Baixa Execução;PENDENTE;0,00%;PENDENTE;NÃO INCLUÍDOS;FNS: 100,00%   |  Convenente: 95,64%;SEM INFORMAÇÃO;SEM IFORMAÇÃO;FRANCIBERTO;25000639817200940;0,72089;;;30/12/2022;-; ;2009;0,00;Negativo;-;-;NÃO;INDEFINIDO;*
709749;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=97931&Usr=guest&Pwd=guest;PB;PEDRAS DE FOGO;09072455000197;MUNICIPIO DE PEDRAS DE FOGO;CONVENIO;NÃO;AQUISICAO DE MEDICAMENTOS - RENAME - EMENDAS;Prestação de Contas Concluída;Administração Pública Municipal;31/12/2009;25/06/2011; 206.186,04 ; 200.000,00 ; 200.000,00 ; 6.186,04 ; -   ; -   ; 234.786,13 ;NÃO;PENDENTE;MONITORAR  DESEMBOLSO;0%;PENDENTE;1ª Prioridade;NÃO HOUVE DESEMBOLSO;18/11/2015;;0;Baixa Execução;PENDENTE;0,00%;PENDENTE;NÃO INCLUÍDOS;FNS: 100,00%   |  Convenente: 0,00%;SEM INFORMAÇÃO;SEM IFORMAÇÃO;FRANCIBERTO;25000665408200907;-;;;30/12/2019;-; ;2009;0,00;Negativo;-;-;NÃO;1ª Prioridade;*
709750;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=106653&Usr=guest&Pwd=guest;PB;JOÃO PESSOA;09112236000194;FUNDACAO NAPOLEAO LAUREANO;CONVENIO;NÃO;FUNDAMENTALMENTE É ATENDER COM QUALIDADE E EFICIÊNCIA A DEMANDA DE PACIENTES PORTADORES DE CÂNCER DO SISTEMA ÚNICO DE SAÚDE-SUS, GERANDO EFICÁCIA NO TRATAMENTO ONCOLÓGICO, COM A AQUISIÇÃO DE NOVOS EQUIPAMENTOS PARA O SERVIÇO DE CENTRO CIRÚRGICO E LAVANDERIA DO HOSPITAL NAPOLEÃO LAUREANO MANTIDO PELA FUNDAÇÃO LAUREANO.;Prestação de Contas Concluída;Organização da Sociedade Civil;31/12/2009;04/11/2016; 293.500,00 ; 280.000,00 ; 280.000,00 ; -   ; 293.500,00 ; -   ; -   ;SIM;PENDENTE;MONITORAR  DESEMBOLSO;0%;PENDENTE;Indefinida;NÃO HOUVE DESEMBOLSO;18/01/2019;;0;Baixa Execução;PENDENTE;0,00%;PENDENTE;NÃO INCLUÍDOS;FNS: 100,00%   |  Convenente: 100,00%;SEM INFORMAÇÃO;SEM IFORMAÇÃO;FRANCIBERTO;25000.652171/2009-96;0,909757162;;;04/01/2017;-; ;2009;0,00;Negativo;-;-;NÃO;INDEFINIDO;*
710590;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=106650&Usr=guest&Pwd=guest;PB;JOÃO PESSOA;09112236000194;FUNDACAO NAPOLEAO LAUREANO;CONVENIO;NÃO;FUNDAMENTALMENTE É ATENDER COM QUALIDADE E EFICIÊNCIA A DEMANDA DE PACIENTES PORTADORES DE CÂNCER DO SISTEMA ÚNICO DE SAÚDE-SUS, GERANDO EFICÁCIA NO TRATAMENTO ONCOLÓGICO, COM A AQUISIÇÃO DE NOVOS EQUIPAMENTOS PARA O SERVIÇO DE ANATOMIA PATOLÓGICA E CENTRO CIRÚRGICO DO HOSPITAL NAPOLEÃO LAUREANO MANTIDO PELA FUNDAÇÃO LAUREANO.;Prestação de Contas Concluída;Organização da Sociedade Civil;31/12/2009;26/02/2015; 100.000,00 ; 100.000,00 ; 100.000,00 ; -   ; 100.000,00 ; -   ; 2.551,77 ;NÃO;PENDENTE;MONITORAR  DESEMBOLSO;0%;PENDENTE;Indefinida;NÃO HOUVE DESEMBOLSO;13/11/2015;;0;Baixa Execução;PENDENTE;0,00%;PENDENTE;NÃO INCLUÍDOS;FNS: 100,00%   |  Convenente: 100,00%;SEM INFORMAÇÃO;SEM IFORMAÇÃO;Fiscal Não Identificado;25000.650444/2009-68;-;;;Sem Vínculo;-; ;2009;0,00;Negativo;-;-;NÃO;INDEFINIDO;*
710603;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=102675&Usr=guest&Pwd=guest;PB;NOVA PALMEIRA;08739930000173;MUNICIPIO DE NOVA PALMEIRA;CONVENIO;NÃO;AQUISIÇÃO DE 01 AMBULÂNCIA TIPO A E 02 VEÍCULOS PARA EQUIPES DE PSF;Prestação de Contas Concluída;Administração Pública Municipal;31/12/2009;31/03/2015; 102.200,00 ; 97.333,34 ; 97.333,34 ; 4.866,66 ; 102.200,00 ; -   ; 1.165,63 ;NÃO;PENDENTE;MONITORAR  DESEMBOLSO;0%;PENDENTE;Indefinida;NÃO HOUVE DESEMBOLSO;25/04/2016;;0;Baixa Execução;PENDENTE;0,00%;PENDENTE;NÃO INCLUÍDOS;FNS: 100,00%   |  Convenente: 100,00%;SEM INFORMAÇÃO;SEM IFORMAÇÃO;FRANCIBERTO;25000.650027/2009-15;-;;;30/12/2016;-; ;2009;4.866,66;Negativo;-;-;NÃO;INDEFINIDO;*
710615;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=100565&Usr=guest&Pwd=guest;PB;JOÃO PESSOA;09112236000194;FUNDACAO NAPOLEAO LAUREANO;CONVENIO;NÃO;FUNDAMENTALMENTE É ATENDER COM QUALIDADE E EFICIÊNCIA A DEMANDA DE PACIENTES PORTADORES DE CÂNCER DO SISTEMA ÚNICO DE SAÚDE-SUS, GERANDO EFICÁCIA NO TRATAMENTO ONCOLÓGICO, COM A AQUISIÇÃO DE NOVOS EQUIPAMENTOS PARA O SERVIÇO DE RADIOTERAPIA E CENTRO CIRÚRGICO DO HOSPITAL NAPOLEÃO LAUREANO MANTIDO PELA FUNDAÇÃO LAUREANO.;Prestação de Contas Concluída;Organização da Sociedade Civil;31/12/2009;26/11/2014; 770.000,00 ; 770.000,00 ; 770.000,00 ; -   ; 238.000,00 ; -   ; 654.241,13 ;NÃO;PENDENTE;MONITORAR  DESEMBOLSO;0%;PENDENTE;Indefinida;NÃO HOUVE DESEMBOLSO;26/12/2014;;0;Baixa Execução;PENDENTE;0,00%;PENDENTE;NÃO INCLUÍDOS;FNS: 100,00%   |  Convenente: 30,91%;SEM INFORMAÇÃO;SEM IFORMAÇÃO;M.JOSÉ;25000.651867/2009-03;-;;;31/12/2020;-; ;2009;0,00;Negativo;-;-;NÃO;INDEFINIDO;*
710626;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=95090&Usr=guest&Pwd=guest;PB;SANTA RITA;09433715000102;FUNDACAO GOVERNADOR FLAVIO RIBEIRO COUTINHO;CONVENIO;NÃO;ADQUIRIR EQUIPAMENTOS HOSPITALAR E INSTRUMENTAIS CIRURGICO, ELEVANDO ASSIM O PADRÃO E AQUALIDADE NO ATENDIMENTO PRESTADO À POPULAÇÃO, POR MEIO DE APARELHOS TECNOLÓGICOS MODERNOS  E RESOLUTIVOS.;Prestação de Contas enviada para Análise;Organização da Sociedade Civil;31/12/2009;30/06/2026; 377.707,00 ; 300.000,00 ; 300.000,00 ; 6.000,00 ; 280.331,31 ; 251.187,54 ; -   ;NÃO;PENDENTE;MONITORAR  DESEMBOLSO;0%;PENDENTE;4ª Prioridade;NÃO HOUVE DESEMBOLSO;30/07/2026;;0;Baixa Execução;PENDENTE;0,00%;PENDENTE;NÃO INCLUÍDOS;FNS: 100,00%   |  Convenente: 74,22%;SEM INFORMAÇÃO;SEM IFORMAÇÃO;JULIO;25000651862200972;-;;;15/04/2024;6; ;2009;6.000,00;Negativo;-;-;NÃO;4ª Prioridade;46239
710641;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=101178&Usr=guest&Pwd=guest;PB;JOÃO PESSOA;09112236000194;FUNDACAO NAPOLEAO LAUREANO;CONVENIO;NÃO;FUNDAMENTALMENTE É ATENDER COM QUALIDADE E EFICIÊNCIA A DEMANDA DE PACIENTES PORTADORES DE CÂNCER DO SISTEMA ÚNICO DE SAÚDE-SUS, GERANDO EFICÁCIA NO TRATAMENTO ONCOLÓGICO, COM A AQUISIÇÃO DE MEDICAMENTOS DE USO HOSPITALAR/AMBULATORIAL PARA A ADMINISTRAÇÃO E DISPENSAÇÃO NO HOSPITAL NAPOLEÃO LAUREANO MANTIDO PELA FUNDAÇÃO LAUREANO.;Prestação de Contas Concluída;Organização da Sociedade Civil;31/12/2009;14/09/2011; 200.000,00 ; 200.000,00 ; 200.000,00 ; -   ; 140.214,00 ; -   ; 69.517,22 ;NÃO;PENDENTE;MONITORAR  DESEMBOLSO;0%;PENDENTE;Indefinida;NÃO HOUVE DESEMBOLSO;23/05/2014;;0;Baixa Execução;PENDENTE;0,00%;PENDENTE;NÃO INCLUÍDOS;FNS: 100,00%   |  Convenente: 70,11%;SEM INFORMAÇÃO;SEM IFORMAÇÃO;Fiscal Não Identificado;25000668414200916;-;;;Sem Vínculo;-; ;2009;0,00;Negativo;-;-;NÃO;INDEFINIDO;*
