Ano;N° Emenda;Partido;Parlamentar;Cód. Parlamentar Solicitante (a partir de 2025);Parlamentar Solicitante (a partir de 2025);UF;Cód. Município IBGE;Municipio;Esfera Administrativa;Tipo de Emenda;Grupo de Despesa;Subfunção;Fonte;Funcional;Data Inicio Proposta;N° Instrumento;TGov Parceria;Tipo de Repasse;Tipo de Instrumento;Ação Orç.;Programa Estratégico;Componente;CNPJ Beneficiário;Beneficiário;Nr. Portaria;Data Portaria;Situação (Portal FNS);Situação (DS PROPOSTA);Data Último Pgto;Instrumento (R$);Empenhado (R$);Pago (R$)
2026;71160010;S.PART.;BANCADA DA PARAÍBA;não se aplica;não se aplica;PB;250750;JOAO PESSOA;ESTADUAL;BANCADA OBRIGATÓRIA;CORRENTE;302;1001;1030251182E900025;08/06/2026;36000812803202600;202600039368;FAF;INCREMENTO MAC;2E90;ATENÇÃO ESPECIALIZADA À SAÚDE;INCREMENTO TEMPORÁRIO DO TETO DA MÉDIA E ALTA COMPLEXIDADE - MAC;03609595000175;FUNDO ESTADUAL DE SAUDE DO ESTADO DA PARAIBA - FESEP;11571;16/06/2026;EM ANALISE PELA ÁREA FINALÍSTICA;Proposta Empenhada aguardando Formalização;-;R$4.500.000,00;R$4.500.000,00;R$0,00
2026;71160004;S.PART.;BANCADA DA PARAÍBA;não se aplica;não se aplica;PB;251140;PICUI;MUNICIPAL;BANCADA OBRIGATÓRIA;CORRENTE;301;1001;1030151192E890025;26/05/2026;36000809505202600;202600037067;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;08619650000121;FUNDO MUNICIPAL DE SAUDE;11487;01/06/2026;EM ANALISE PELA ÁREA FINALÍSTICA;Proposta Empenhada aguardando Formalização;-;R$500.000,00;R$500.000,00;R$0,00
2026;71160004;S.PART.;BANCADA DA PARAÍBA;não se aplica;não se aplica;PB;251390;SAO BENTO;MUNICIPAL;BANCADA OBRIGATÓRIA;CORRENTE;301;1001;1030151192E890025;20/05/2026;36000807299202600;202600036620;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;02015756000130;FUNDO MINICIPAL DE SAUDE;11413;26/05/2026;PROPOSTA PAGA;Proposta Paga;26/06/2026;R$500.000,00;R$500.000,00;R$500.000,00
2026;71160010;S.PART.;BANCADA DA PARAÍBA;não se aplica;não se aplica;PB;251330;SANTA HELENA;MUNICIPAL;BANCADA OBRIGATÓRIA;CORRENTE;302;1001;1030251182E900025;13/05/2026;36000804811202600;202600034376;FAF;INCREMENTO MAC;2E90;ATENÇÃO ESPECIALIZADA À SAÚDE;INCREMENTO TEMPORÁRIO DO TETO DA MÉDIA E ALTA COMPLEXIDADE - MAC;11245287000136;FUNDO MUNICIPAL DE SAUDE DE SANTA HELENA-PB;11270;18/05/2026;PROPOSTA PAGA;Proposta Paga;26/06/2026;R$290.000,00;R$290.000,00;R$290.000,00
2026;71160004;S.PART.;BANCADA DA PARAÍBA;não se aplica;não se aplica;PB;250520;CUITEGI;MUNICIPAL;BANCADA OBRIGATÓRIA;CORRENTE;301;1001;1030151192E890025;14/05/2026;36000805360202600;202600035537;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;11780026000116;FUNDO MUNICIPAL DE SAUDE - CUITEGI-PB;11331;20/05/2026;PROPOSTA PAGA;Proposta Paga;26/06/2026;R$200.000,00;R$200.000,00;R$200.000,00
2026;71160004;S.PART.;BANCADA DA PARAÍBA;não se aplica;não se aplica;PB;251640;TACIMA;MUNICIPAL;BANCADA OBRIGATÓRIA;CORRENTE;301;1001;1030151192E890025;06/05/2026;36000801311202600;202600029714;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;11907806000184;FUNDO MUNICIPAL DE SAUDE DE TACIMA;11194;13/05/2026;PROPOSTA PAGA;Proposta Paga;16/06/2026;R$550.000,00;R$550.000,00;R$550.000,00
2026;71160010;S.PART.;BANCADA DA PARAÍBA;não se aplica;não se aplica;PB;250890;MAMANGUAPE;MUNICIPAL;BANCADA OBRIGATÓRIA;CORRENTE;302;1001;1030251182E900025;06/05/2026;36000801333202600;202600028622;FAF;INCREMENTO MAC;2E90;ATENÇÃO ESPECIALIZADA À SAÚDE;INCREMENTO TEMPORÁRIO DO TETO DA MÉDIA E ALTA COMPLEXIDADE - MAC;08674396000164;FUNDO MUNICIPAL DE SAUDE DE MAMANGUAPE;11058;11/05/2026;PROPOSTA PAGA;Proposta Paga;26/05/2026;R$500.000,00;R$500.000,00;R$500.000,00
2026;71160004;S.PART.;BANCADA DA PARAÍBA;não se aplica;não se aplica;PB;251090;PAULISTA;MUNICIPAL;BANCADA OBRIGATÓRIA;CORRENTE;301;1001;1030151192E890025;05/05/2026;36000800871202600;202600035587;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;11247833000178;FUNDO MUNICIPAL DE SAUDE;11331;20/05/2026;PROPOSTA PAGA;Proposta Paga;26/06/2026;R$200.000,00;R$200.000,00;R$200.000,00
2026;71160004;S.PART.;BANCADA DA PARAÍBA;não se aplica;não se aplica;PB;250890;MAMANGUAPE;MUNICIPAL;BANCADA OBRIGATÓRIA;CORRENTE;301;1001;1030151192E890025;05/05/2026;36000800811202600;202600029704;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;08674396000164;FUNDO MUNICIPAL DE SAUDE DE MAMANGUAPE;11194;13/05/2026;PROPOSTA PAGA;Proposta Paga;16/06/2026;R$1.000.000,00;R$1.000.000,00;R$1.000.000,00
2026;71160004;S.PART.;BANCADA DA PARAÍBA;não se aplica;não se aplica;PB;251315;SANTA CECILIA;MUNICIPAL;BANCADA OBRIGATÓRIA;CORRENTE;301;1001;1030151192E890025;13/05/2026;36000805025202600;202600035594;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;08698105000178;FUNDO MUNICIPAL DE SAUDE SANTA CECILIA;11331;20/05/2026;EM ANALISE PELA ÁREA FINALÍSTICA;Proposta Empenhada aguardando Formalização;-;R$1.000.000,00;R$1.000.000,00;R$0,00
2026;71160004;S.PART.;BANCADA DA PARAÍBA;não se aplica;não se aplica;PB;251400;SAO JOAO DO CARIRI;MUNICIPAL;BANCADA OBRIGATÓRIA;CORRENTE;301;1001;1030151192E890025;08/05/2026;36000803116202600;202600030627;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;12447221000191;FUNDO MUNICIPAL DE SAUDE DE SAO JOAO DO CARIRI - PB;11239;15/05/2026;PROPOSTA PAGA;Proposta Paga;09/06/2026;R$100.000,00;R$100.000,00;R$100.000,00
2026;71160004;S.PART.;BANCADA DA PARAÍBA;não se aplica;não se aplica;PB;251650;TAPEROA;MUNICIPAL;BANCADA OBRIGATÓRIA;CORRENTE;301;1001;1030151192E890025;07/05/2026;36000802262202600;202600029715;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;11850452000189;FUNDO MUNICIPAL DE SAUDE DE TAPEROA;11194;13/05/2026;PROPOSTA PAGA;Proposta Paga;26/05/2026;R$100.000,00;R$100.000,00;R$100.000,00
2026;71160004;S.PART.;BANCADA DA PARAÍBA;não se aplica;não se aplica;PB;251270;REMIGIO;MUNICIPAL;BANCADA OBRIGATÓRIA;CORRENTE;301;1001;1030151192E890025;25/05/2026;36000809123202600;202600037070;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;11376311000176;FUNDO MUNICIPAL DE SAUDE - REMIGIO - PB;11487;01/06/2026;PROPOSTA PAGA;Proposta Paga;26/06/2026;R$500.000,00;R$500.000,00;R$500.000,00
2026;71160010;S.PART.;BANCADA DA PARAÍBA;não se aplica;não se aplica;PB;250750;JOAO PESSOA;MUNICIPAL;BANCADA OBRIGATÓRIA;CORRENTE;302;1001;1030251182E900025;02/06/2026;36000812303202600;202600040668;FAF;INCREMENTO MAC;2E90;ATENÇÃO ESPECIALIZADA À SAÚDE;INCREMENTO TEMPORÁRIO DO TETO DA MÉDIA E ALTA COMPLEXIDADE - MAC;08715618000140;FUNDO MUNICIPAL DE SAUDE;11642;23/06/2026;EM ANALISE PELA ÁREA FINALÍSTICA;Proposta Empenhada aguardando Formalização;-;R$650.000,00;R$650.000,00;R$0,00
2026;71160004;S.PART.;BANCADA DA PARAÍBA;não se aplica;não se aplica;PB;250210;BOA VENTURA;MUNICIPAL;BANCADA OBRIGATÓRIA;CORRENTE;301;1001;1030151192E890025;14/05/2026;36000805427202600;202600035520;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;10570295000195;FUNCO MUNICIPAL DE SAUDE DE BOA VENTURA;11331;20/05/2026;PROPOSTA PAGA;Proposta Paga;26/06/2026;R$400.000,00;R$400.000,00;R$400.000,00
2026;71160004;S.PART.;BANCADA DA PARAÍBA;não se aplica;não se aplica;PB;251200;POCINHOS;MUNICIPAL;BANCADA OBRIGATÓRIA;CORRENTE;301;1001;1030151192E890025;18/05/2026;36000806835202600;202600036613;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;09505246000190;FUNDO MUNICIPAL DE SAUDE - POCINHOS - PARAIBA;11402;26/05/2026;EM ANALISE PELA ÁREA FINALÍSTICA;Proposta Empenhada aguardando Formalização;-;R$2.000.000,00;R$2.000.000,00;R$0,00
2026;71160004;S.PART.;BANCADA DA PARAÍBA;não se aplica;não se aplica;PB;251350;SANTANA DE MANGUEIRA;MUNICIPAL;BANCADA OBRIGATÓRIA;CORRENTE;301;1001;1030151192E890025;06/05/2026;36000801038202600;202600029708;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;11285050000189;FUNDO MUNICIPAL DE SAUDE;11194;13/05/2026;PROPOSTA PAGA;Proposta Paga;16/06/2026;R$400.000,00;R$400.000,00;R$400.000,00
2026;71160010;S.PART.;BANCADA DA PARAÍBA;não se aplica;não se aplica;PB;250370;CAJAZEIRAS;MUNICIPAL;BANCADA OBRIGATÓRIA;CORRENTE;302;1001;1030251182E900025;11/05/2026;36000803450202600;202600034363;FAF;INCREMENTO MAC;2E90;ATENÇÃO ESPECIALIZADA À SAÚDE;INCREMENTO TEMPORÁRIO DO TETO DA MÉDIA E ALTA COMPLEXIDADE - MAC;11902878000139;MUNICIPIO DE CAJAZEIRAS FUNDO MUNICIPAL DE SAUDE - FMS;11263;18/05/2026;EM ANALISE PELA ÁREA FINALÍSTICA;Proposta Empenhada aguardando Formalização;-;R$1.000.000,00;R$1.000.000,00;R$0,00
