Ano;N° Emenda;Partido;Parlamentar;Cód. Parlamentar Solicitante (a partir de 2025);Parlamentar Solicitante (a partir de 2025);UF;Cód. Município IBGE;Municipio;Esfera Administrativa;Tipo de Emenda;Grupo de Despesa;Subfunção;Fonte;Funcional;Data Inicio Proposta;N° Instrumento;TGov Parceria;Tipo de Repasse;Tipo de Instrumento;Ação Orç.;Programa Estratégico;Componente;CNPJ Beneficiário;Beneficiário;Nr. Portaria;Data Portaria;Situação (Portal FNS);Situação (DS PROPOSTA);Data Último Pgto;Instrumento (R$);Empenhado (R$);Pago (R$)
2026;50410001;S.PART.;COMISSÃO DA SAÚDE;1271 / 2712 / 2715 / 4317 / 4436;CABO GILBERTO SILVA / HUGO MOTTA / LUIZ COUTO / MURILO GALDINO / RUY CARNEIRO;PB;250750;JOAO PESSOA;ESTADUAL;COMISSAO;CORRENTE;302;1000;1030251182E900001;26/05/2026;36000809389202600;202600037996;FAF;INCREMENTO MAC;2E90;ATENÇÃO ESPECIALIZADA À SAÚDE;INCREMENTO TEMPORÁRIO DO TETO DA MÉDIA E ALTA COMPLEXIDADE - MAC;03609595000175;FUNDO ESTADUAL DE SAUDE DO ESTADO DA PARAIBA - FESEP;11468;29/05/2026;PROPOSTA PAGA;Proposta Paga;25/06/2026;R$1.000.000,00;R$1.000.000,00;R$1.000.000,00
2026;50410002;S.PART.;COMISSÃO DA SAÚDE;2712 / 3997;GERVÁSIO MAIA / HUGO MOTTA;PB;251272;PEDRO REGIS;MUNICIPAL;COMISSAO;CORRENTE;301;1000;1030151192E890001;20/05/2026;36000807307202600;202600037400;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;13072341000114;PEDRO REGIS FUNDO MUNICIPAL DE SAUDE;11414;26/05/2026;PROPOSTA PAGA;Proposta Paga;11/06/2026;R$250.000,00;R$250.000,00;R$250.000,00
2026;50410002;S.PART.;COMISSÃO DA SAÚDE;2712;HUGO MOTTA;PB;250270;BORBOREMA;MUNICIPAL;COMISSAO;CORRENTE;301;1000;1030151192E890001;12/05/2026;36000804375202600;202600033009;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;11594451000110;FUNDO MUNICIPAL DE SAUDE DE BORBOREMA;11237;15/05/2026;PROPOSTA PAGA;Proposta Paga;26/05/2026;R$750.000,00;R$750.000,00;R$750.000,00
2026;50410002;S.PART.;COMISSÃO DA SAÚDE;2718 / 4317;AUGUSTO COUTINHO / CABO GILBERTO SILVA;PB;250860;LUCENA;MUNICIPAL;COMISSAO;CORRENTE;301;1000;1030151192E890001;01/06/2026;36000812083202600;202600040140;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;11516231000179;FUNDO MUNICIPAL DE SAUDE DE LUCENA;11610;19/06/2026;PROPOSTA PAGA;Proposta Paga;29/06/2026;R$2.000.000,00;R$2.000.000,00;R$2.000.000,00
2026;50410002;S.PART.;COMISSÃO DA SAÚDE;1271 / 2712;HUGO MOTTA / LUIZ COUTO;PB;250625;GADO BRAVO;MUNICIPAL;COMISSAO;CORRENTE;301;1000;1030151192E890001;18/05/2026;36000806939202600;202600037394;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;11136097000180;FUNDO MUNICIPAL DE SAUDE GADO BRAVO;11403;26/05/2026;PROPOSTA PAGA;Proposta Paga;11/06/2026;R$2.110.833,00;R$2.110.833,00;R$2.110.833,00
2026;50410002;S.PART.;COMISSÃO DA SAÚDE;1271 / 2712;HUGO MOTTA / LUIZ COUTO;PB;250937;MATO GROSSO;MUNICIPAL;COMISSAO;CORRENTE;301;1000;1030151192E890001;06/05/2026;36000801453202600;202600033067;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;11951131000170;FUNDO MUNICIPAL DE SAUDE DE MATO GROSSO PB;11222;15/05/2026;PROPOSTA PAGA;Proposta Paga;11/06/2026;R$100.000,00;R$100.000,00;R$100.000,00
2026;50410001;S.PART.;COMISSÃO DA SAÚDE;4317 / 4432;CABO GILBERTO SILVA / MERSINHO LUCENA;PB;250370;CAJAZEIRAS;MUNICIPAL;COMISSAO;CORRENTE;302;1000;1030251182E900001;11/06/2026;36000813797202600;202600039778;FAF;INCREMENTO MAC;2E90;ATENÇÃO ESPECIALIZADA À SAÚDE;INCREMENTO TEMPORÁRIO DO TETO DA MÉDIA E ALTA COMPLEXIDADE - MAC;11902878000139;MUNICIPIO DE CAJAZEIRAS FUNDO MUNICIPAL DE SAUDE - FMS;11600;18/06/2026;EM ANALISE PELA ÁREA FINALÍSTICA;Proposta Empenhada aguardando Formalização;-;R$1.000.000,00;R$1.000.000,00;R$0,00
2026;50410001;S.PART.;COMISSÃO DA SAÚDE;2718;AUGUSTO COUTINHO;PB;250010;AGUA BRANCA;MUNICIPAL;COMISSAO;CORRENTE;302;1000;1030251182E900001;07/05/2026;36000802023202600;202600036870;FAF;INCREMENTO MAC;2E90;ATENÇÃO ESPECIALIZADA À SAÚDE;INCREMENTO TEMPORÁRIO DO TETO DA MÉDIA E ALTA COMPLEXIDADE - MAC;10502869000198;FUNDO MUNICIPAL DE SAUDE DE AGUA BRANCA;11443;28/05/2026;PROPOSTA PAGA;Proposta Paga;29/06/2026;R$2.500.000,00;R$2.500.000,00;R$2.500.000,00
2026;60060001;S.PART.;COMISSÃO DE ASSUNTOS SOCIAIS - CAS;4270;EFRAIM FILHO;PB;251190;PITIMBU;MUNICIPAL;COMISSAO;CORRENTE;301;1000;1030151192E890001;30/03/2026;36000781841202600;202600033090;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;10557425000150;FUNDO MUNICIPAL DE SAUDE DE PITIMBU;11195;13/05/2026;PROPOSTA PAGA;Proposta Paga;26/05/2026;R$1.000.000,00;R$1.000.000,00;R$1.000.000,00
2026;60060002;S.PART.;COMISSÃO DE ASSUNTOS SOCIAIS - CAS;4088;VENEZIANO VITAL DO RÊGO;PB;250930;MATARACA;MUNICIPAL;COMISSAO;CORRENTE;302;1000;1030251182E900001;14/04/2026;36000792532202600;202600031745;FAF;INCREMENTO MAC;2E90;ATENÇÃO ESPECIALIZADA À SAÚDE;INCREMENTO TEMPORÁRIO DO TETO DA MÉDIA E ALTA COMPLEXIDADE - MAC;13070749000157;FUNDO MUNICIPAL DE SAUDE DO MUNICIPIO DE MATARACA-PB;11072;11/05/2026;EM ANALISE PELA ÁREA FINALÍSTICA;Proposta Empenhada aguardando Formalização;-;R$100.000,00;R$100.000,00;R$0,00
2026;60060002;S.PART.;COMISSÃO DE ASSUNTOS SOCIAIS - CAS;4088 / 4270;EFRAIM FILHO / VENEZIANO VITAL DO RÊGO;PB;251350;SANTANA DE MANGUEIRA;MUNICIPAL;COMISSAO;CORRENTE;302;1000;1030251182E900001;08/04/2026;36000791278202600;202600031770;FAF;INCREMENTO MAC;2E90;ATENÇÃO ESPECIALIZADA À SAÚDE;INCREMENTO TEMPORÁRIO DO TETO DA MÉDIA E ALTA COMPLEXIDADE - MAC;11285050000189;FUNDO MUNICIPAL DE SAUDE;11072;11/05/2026;PROPOSTA PAGA;Proposta Paga;28/05/2026;R$100.000,00;R$100.000,00;R$100.000,00
2026;60060001;S.PART.;COMISSÃO DE ASSUNTOS SOCIAIS - CAS;4088;VENEZIANO VITAL DO RÊGO;PB;251365;JOCA CLAUDINO;MUNICIPAL;COMISSAO;CORRENTE;301;1000;1030151192E890001;24/03/2026;36000774088202600;202600033048;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;11332661000130;FUNDO MUNICIPAL DE SAUDE;11195;13/05/2026;PROPOSTA PAGA;Proposta Paga;26/05/2026;R$100.000,00;R$100.000,00;R$100.000,00
2026;60060001;S.PART.;COMISSÃO DE ASSUNTOS SOCIAIS - CAS;4088;VENEZIANO VITAL DO RÊGO;PB;250905;MARCACAO;MUNICIPAL;COMISSAO;CORRENTE;301;1000;1030151192E890001;24/03/2026;36000774831202600;202600033058;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;12370254000180;MARCACAO - FUNDO MUNICIPAL DE SAUDE;11195;13/05/2026;PROPOSTA PAGA;Proposta Paga;26/05/2026;R$100.000,00;R$100.000,00;R$100.000,00
2026;60060001;S.PART.;COMISSÃO DE ASSUNTOS SOCIAIS - CAS;4088;VENEZIANO VITAL DO RÊGO;PB;251315;SANTA CECILIA;MUNICIPAL;COMISSAO;CORRENTE;301;1000;1030151192E890001;30/03/2026;36000783361202600;202600033092;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;08698105000178;FUNDO MUNICIPAL DE SAUDE SANTA CECILIA;11195;13/05/2026;PROPOSTA PAGA;Proposta Paga;26/05/2026;R$100.000,00;R$100.000,00;R$100.000,00
2026;60060001;S.PART.;COMISSÃO DE ASSUNTOS SOCIAIS - CAS;4088 / 4270;EFRAIM FILHO / VENEZIANO VITAL DO RÊGO;PB;251335;SANTA INES;MUNICIPAL;COMISSAO;CORRENTE;301;1000;1030151192E890001;07/04/2026;36000790788202600;202600033099;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;14418667000113;FUNDO MUNICIPAL DE SAUDE;11195;13/05/2026;PROPOSTA PAGA;Proposta Paga;26/05/2026;R$100.000,00;R$100.000,00;R$100.000,00
2026;60060001;S.PART.;COMISSÃO DE ASSUNTOS SOCIAIS - CAS;4088;VENEZIANO VITAL DO RÊGO;PB;251410;SAO JOAO DO TIGRE;MUNICIPAL;COMISSAO;CORRENTE;301;1000;1030151192E890001;25/03/2026;36000776728202600;202600033101;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;12899907000113;FUNDO MUNICIPAL DE SAUDE;11195;13/05/2026;PROPOSTA PAGA;Proposta Paga;26/05/2026;R$100.000,00;R$100.000,00;R$100.000,00
