Ano;N° Emenda;Partido;Parlamentar;Cód. Parlamentar Solicitante (a partir de 2025);Parlamentar Solicitante (a partir de 2025);UF;Cód. Município IBGE;Municipio;Esfera Administrativa;Tipo de Emenda;Grupo de Despesa;Subfunção;Fonte;Funcional;Data Inicio Proposta;N° Instrumento;TGov Parceria;Tipo de Repasse;Tipo de Instrumento;Ação Orç.;Programa Estratégico;Componente;CNPJ Beneficiário;Beneficiário;Nr. Portaria;Data Portaria;Situação (Portal FNS);Situação (DS PROPOSTA);Data Último Pgto;Instrumento (R$);Empenhado (R$);Pago (R$)
2026;40880008;MDB;VENEZIANO VITAL DO RÊGO;não se aplica;não se aplica;PB;251335;SANTA INES;MUNICIPAL;INDIVIDUAL;CORRENTE;301;1001;1030151192E890025;12/03/2026;36000758919202600;202600006687;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;14418667000113;FUNDO MUNICIPAL DE SAUDE;10430;27/03/2026;PROPOSTA PAGA;Proposta Paga;08/05/2026;R$300.000,00;R$300.000,00;R$300.000,00
2026;40880003;MDB;VENEZIANO VITAL DO RÊGO;não se aplica;não se aplica;PB;251420;SAO JOSE DA LAGOA TAPADA;MUNICIPAL;INDIVIDUAL;CAPITAL;301;1001;10301511985810025;10/03/2026;11420422000126002;202600030064;FAF;EQUIPAMENTO;8581;ATENÇÃO PRIMÁRIA À SAÚDE;EQUIPAMENTOS - UBS;11420422000132;FUNDO MUNIC DE SAUDE DE JOSE DA LAGOA TAPADA;11166;13/05/2026;PROPOSTA PAGA;Proposta Paga;16/06/2026;R$299.904,00;R$299.904,00;R$299.904,00
2026;41410003;PP;DANIELLA RIBEIRO;não se aplica;não se aplica;PB;250240;BONITO DE SANTA FE;MUNICIPAL;INDIVIDUAL;CORRENTE;301;1001;1030151192E890025;07/03/2026;36000751513202600;202600017824;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;11494230000170;FUNDO MUNICIPAL DE SAUDE BONITO DE SANTA FE;10781;10/04/2026;PROPOSTA PAGA;Proposta Paga;21/05/2026;R$100.000,00;R$100.000,00;R$100.000,00
2026;27110002;PP;AGUINALDO RIBEIRO;não se aplica;não se aplica;PB;250060;ALHANDRA;MUNICIPAL;INDIVIDUAL;CORRENTE;302;1001;1030251182E900025;13/03/2026;36000760988202600;202600014529;FAF;INCREMENTO MAC;2E90;ATENÇÃO ESPECIALIZADA À SAÚDE;INCREMENTO TEMPORÁRIO DO TETO DA MÉDIA E ALTA COMPLEXIDADE - MAC;11490408000105;FUNDO MUNICIPAL DE SAUDE;10443;27/03/2026;PROPOSTA PAGA;Proposta Paga;06/05/2026;R$300.000,00;R$300.000,00;R$300.000,00
2026;41410003;PP;DANIELLA RIBEIRO;não se aplica;não se aplica;PB;250510;CUITE;MUNICIPAL;INDIVIDUAL;CORRENTE;301;1001;1030151192E890025;03/03/2026;36000741829202600;202600006563;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;11404674000178;FUNDO MUNICIPAL DE SAUDE;10430;27/03/2026;PROPOSTA PAGA;Proposta Paga;03/06/2026;R$100.000,00;R$100.000,00;R$100.000,00
2026;27110002;PP;AGUINALDO RIBEIRO;não se aplica;não se aplica;PB;250460;CONDE;MUNICIPAL;INDIVIDUAL;CORRENTE;302;1001;1030251182E900025;24/03/2026;36000774507202600;202600014571;FAF;INCREMENTO MAC;2E90;ATENÇÃO ESPECIALIZADA À SAÚDE;INCREMENTO TEMPORÁRIO DO TETO DA MÉDIA E ALTA COMPLEXIDADE - MAC;11570107000191;FUNDO MUNICIPAL DE SAUDE;10494;31/03/2026;PROPOSTA PAGA;Proposta Paga;06/05/2026;R$500.000,00;R$500.000,00;R$500.000,00
2026;27140002;PODE;ROMERO RODRIGUES;não se aplica;não se aplica;PB;250830;LAGOA SECA;MUNICIPAL;INDIVIDUAL;CORRENTE;301;1001;1030151192E890025;13/03/2026;36000762242202600;202600006610;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;11264183000179;FUNDO MUNICIPAL DE SAUDE;10713;07/04/2026;PROPOSTA PAGA;Proposta Paga;06/05/2026;R$2.000.000,00;R$2.000.000,00;R$2.000.000,00
2026;41410003;PP;DANIELLA RIBEIRO;não se aplica;não se aplica;PB;251300;SALGADINHO;MUNICIPAL;INDIVIDUAL;CORRENTE;301;1001;1030151192E890025;04/03/2026;36000743973202600;202600006678;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;11321779000163;FUNDO MUNICIPAL DE SAUDE - SALGADINHO - PB;10454;27/03/2026;PROPOSTA PAGA;Proposta Paga;08/05/2026;R$100.000,00;R$100.000,00;R$100.000,00
2026;41410003;PP;DANIELLA RIBEIRO;não se aplica;não se aplica;PB;251445;SAO JOSE DOS RAMOS;MUNICIPAL;INDIVIDUAL;CORRENTE;301;1001;1030151192E890025;24/03/2026;36000774428202600;202600006728;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;11227813000135;FUNDO MUNICIPAL DE SAUDE DE SAO JOSE DOS RAMOS;10454;27/03/2026;PROPOSTA PAGA;Proposta Paga;08/05/2026;R$100.000,00;R$100.000,00;R$100.000,00
2026;41410006;PP;DANIELLA RIBEIRO;não se aplica;não se aplica;PB;250220;BOM JESUS;MUNICIPAL;INDIVIDUAL;CORRENTE;302;1001;1030251182E900025;25/03/2026;36000776377202600;202600019988;FAF;INCREMENTO MAC;2E90;ATENÇÃO ESPECIALIZADA À SAÚDE;INCREMENTO TEMPORÁRIO DO TETO DA MÉDIA E ALTA COMPLEXIDADE - MAC;11856862000137;FUNDO MUNICIPAL DE SAUDE DO MUNICIPIO DE BOM JESUS;10866;15/04/2026;PROPOSTA PAGA;Proposta Paga;08/05/2026;R$233.000,00;R$233.000,00;R$233.000,00
2026;44320006;PP;MERSINHO LUCENA;não se aplica;não se aplica;PB;250750;JOAO PESSOA;MUNICIPAL;INDIVIDUAL;CORRENTE;302;1001;1030251182E900025;08/04/2026;36000791314202600;202600023386;FAF;INCREMENTO MAC;2E90;ATENÇÃO ESPECIALIZADA À SAÚDE;INCREMENTO TEMPORÁRIO DO TETO DA MÉDIA E ALTA COMPLEXIDADE - MAC;08715618000140;FUNDO MUNICIPAL DE SAUDE;10941;27/04/2026;EM ANALISE PELA ÁREA FINALÍSTICA;Proposta Empenhada aguardando Formalização;-;R$2.000.000,00;R$2.000.000,00;R$0,00
2026;44320007;PP;MERSINHO LUCENA;não se aplica;não se aplica;PB;250400;CAMPINA GRANDE;MUNICIPAL;INDIVIDUAL;CORRENTE;302;1001;1030251182E901392;09/03/2026;36000753568202600;202600014556;FAF;INCREMENTO MAC;2E90;ATENÇÃO ESPECIALIZADA À SAÚDE;INCREMENTO TEMPORÁRIO DO TETO DA MÉDIA E ALTA COMPLEXIDADE - MAC;24513574000121;FUNDO MUNICIPAL DE SAUDE DE CAMPINA GRANDE;10443;27/03/2026;PROPOSTA PAGA;Proposta Paga;06/05/2026;R$500.000,00;R$500.000,00;R$500.000,00
2026;39970005;PSB;GERVÁSIO MAIA;não se aplica;não se aplica;PB;251272;PEDRO REGIS;MUNICIPAL;INDIVIDUAL;CORRENTE;301;1001;1030151192E890025;13/03/2026;36000762054202600;202600006650;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;13072341000114;PEDRO REGIS FUNDO MUNICIPAL DE SAUDE;10498;31/03/2026;PROPOSTA PAGA;Proposta Paga;06/05/2026;R$500.000,00;R$500.000,00;R$500.000,00
2026;27150009;PSC;RUY CARNEIRO;não se aplica;não se aplica;PB;251650;TAPEROA;MUNICIPAL;INDIVIDUAL;CORRENTE;301;1001;1030151192E890025;13/03/2026;36000761399202600;202600006754;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;11850452000189;FUNDO MUNICIPAL DE SAUDE DE TAPEROA;10430;27/03/2026;PROPOSTA PAGA;Proposta Paga;06/05/2026;R$432.007,00;R$432.007,00;R$432.007,00
2026;35300003;UNIÃO;DAMIÃO FELICIANO;não se aplica;não se aplica;PB;250570;DONA INES;MUNICIPAL;INDIVIDUAL;CORRENTE;302;1001;1030251182E900025;13/03/2026;36000762100202600;202600014580;FAF;INCREMENTO MAC;2E90;ATENÇÃO ESPECIALIZADA À SAÚDE;INCREMENTO TEMPORÁRIO DO TETO DA MÉDIA E ALTA COMPLEXIDADE - MAC;11420456000127;DONA INES - FUNDO MUNICIPAL DE SAUDE;10443;27/03/2026;PROPOSTA PAGA;Proposta Paga;06/05/2026;R$200.000,00;R$200.000,00;R$200.000,00
2026;35300003;UNIÃO;DAMIÃO FELICIANO;não se aplica;não se aplica;PB;250690;ITABAIANA;MUNICIPAL;INDIVIDUAL;CORRENTE;302;1001;1030251182E900025;05/03/2026;36000746278202600;202600014594;FAF;INCREMENTO MAC;2E90;ATENÇÃO ESPECIALIZADA À SAÚDE;INCREMENTO TEMPORÁRIO DO TETO DA MÉDIA E ALTA COMPLEXIDADE - MAC;07615929000174;FUNDO MUNICIPAL DE SAUDE;10443;27/03/2026;PROPOSTA PAGA;Proposta Paga;06/05/2026;R$200.000,00;R$200.000,00;R$200.000,00
2026;12830008;REPUBLICAN;WILSON SANTIAGO;não se aplica;não se aplica;PB;250750;JOAO PESSOA;ESTADUAL;INDIVIDUAL;CORRENTE;302;1001;1030251182E900025;25/03/2026;36000775493202600;202600014602;FAF;INCREMENTO MAC;2E90;ATENÇÃO ESPECIALIZADA À SAÚDE;INCREMENTO TEMPORÁRIO DO TETO DA MÉDIA E ALTA COMPLEXIDADE - MAC;03609595000175;FUNDO ESTADUAL DE SAUDE DO ESTADO DA PARAIBA - FESEP;10477;27/03/2026;PROPOSTA PAGA;Proposta Paga;06/05/2026;R$300.000,00;R$300.000,00;R$300.000,00
2026;40880013;MDB;VENEZIANO VITAL DO RÊGO;não se aplica;não se aplica;PB;251370;SANTA RITA;MUNICIPAL;INDIVIDUAL;CORRENTE;302;1001;1030251182E900025;02/04/2026;36000789422202600;202600035189;FAF;INCREMENTO MAC;2E90;ATENÇÃO ESPECIALIZADA À SAÚDE;INCREMENTO TEMPORÁRIO DO TETO DA MÉDIA E ALTA COMPLEXIDADE - MAC;08694222000163;FUNDO MUNICIPAL DE SAUDE DE SANTA RITA;11347;20/05/2026;PROPOSTA PAGA;Proposta Paga;16/06/2026;R$160.000,00;R$160.000,00;R$160.000,00
2026;40880008;MDB;VENEZIANO VITAL DO RÊGO;não se aplica;não se aplica;PB;251450;SAO JOSE DE PIRANHAS;MUNICIPAL;INDIVIDUAL;CORRENTE;301;1001;1030151192E890025;05/03/2026;36000746203202600;202600006717;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;11602227000123;FUNDO MUNICIPAL DE SAUDE;10498;31/03/2026;PROPOSTA PAGA;Proposta Paga;08/05/2026;R$200.000,00;R$200.000,00;R$200.000,00
2026;40880008;MDB;VENEZIANO VITAL DO RÊGO;não se aplica;não se aplica;PB;251500;SAO MIGUEL DE TAIPU;MUNICIPAL;INDIVIDUAL;CORRENTE;301;1001;1030151192E890025;20/03/2026;36000768836202600;202600006733;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;11601645000104;FUNDO MUNICIPAL DE SAUDE;10430;27/03/2026;PROPOSTA PAGA;Proposta Paga;21/05/2026;R$200.000,00;R$200.000,00;R$200.000,00
2026;43170005;PL;CABO GILBERTO SILVA;não se aplica;não se aplica;PB;250690;ITABAIANA;MUNICIPAL;INDIVIDUAL;CAPITAL;302;1001;10302511885350025;29/04/2026;07615929000126016;202600035126;FAF;EQUIPAMENTO;8535;ATENÇÃO ESPECIALIZADA À SAÚDE;AGORA TEM ESPECIALISTA - TRANSPORTE SANITÁRIO;07615929000174;FUNDO MUNICIPAL DE SAUDE;11272;20/05/2026;EM ANALISE PELA ÁREA FINALÍSTICA;Proposta Empenhada aguardando Formalização;-;R$889.200,00;R$889.200,00;R$0,00
2026;43170007;PL;CABO GILBERTO SILVA;não se aplica;não se aplica;PB;251530;SAPE;MUNICIPAL;INDIVIDUAL;CORRENTE;301;1001;1030151192E890025;30/03/2026;36000781733202600;202600006735;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;08036438000131;FUNDO MUNICIPAL DE SAUDE DE SAPE;10713;07/04/2026;PROPOSTA PAGA;Proposta Paga;21/05/2026;R$1.500.000,00;R$1.500.000,00;R$1.500.000,00
2026;12770002;PL;WELLINGTON ROBERTO;não se aplica;não se aplica;PB;250200;BELEM DO BREJO DO CRUZ;MUNICIPAL;INDIVIDUAL;CORRENTE;302;1001;1030251182E900025;09/03/2026;36000754527202600;202600014536;FAF;INCREMENTO MAC;2E90;ATENÇÃO ESPECIALIZADA À SAÚDE;INCREMENTO TEMPORÁRIO DO TETO DA MÉDIA E ALTA COMPLEXIDADE - MAC;12461113000173;FUNDO MUNICIPAL DE SAUDE DE BELEM DO BREJO DO CRUZ;10443;27/03/2026;EM ANALISE PELA ÁREA FINALÍSTICA;Proposta Empenhada aguardando Formalização;-;R$250.000,00;R$250.000,00;R$0,00
2026;12770002;PL;WELLINGTON ROBERTO;não se aplica;não se aplica;PB;251220;PRATA;MUNICIPAL;INDIVIDUAL;CORRENTE;302;1001;1030251182E900025;10/03/2026;36000756748202600;202600023886;FAF;INCREMENTO MAC;2E90;ATENÇÃO ESPECIALIZADA À SAÚDE;INCREMENTO TEMPORÁRIO DO TETO DA MÉDIA E ALTA COMPLEXIDADE - MAC;11356674000140;FUNDO MUNICIPAL DE SAUDE DO MUNICIPIO DE PRATA;10973;30/04/2026;EM ANALISE PELA ÁREA FINALÍSTICA;Proposta Empenhada aguardando Formalização;-;R$300.000,00;R$300.000,00;R$0,00
